               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070575,            0.067866,            0.070266,             0.37624,             0.38389,             0.29712,             0.12008,            0.058432,            0.055513,            0.064658,            0.067046,          0.00033287,          0.00033287
                   1,            0.060232,            0.064507,            0.066202,             0.53688,             0.51955,             0.50175,             0.22372,            0.051969,            0.050317,            0.062019,            0.034046,          0.00066604,          0.00066604
                   2,            0.057871,            0.063628,            0.064907,             0.66332,             0.56071,             0.60056,             0.27991,            0.049243,            0.048882,            0.060905,           0.0010449,          0.00099856,          0.00099856
                   3,             0.05617,            0.062713,            0.064082,             0.68078,             0.58509,             0.61362,             0.28926,            0.048219,            0.049123,            0.060502,           0.0009978,           0.0009978,           0.0009978
                   4,            0.055314,            0.062159,            0.063581,             0.74255,             0.62851,             0.67796,             0.32462,            0.047708,             0.04828,            0.060007,           0.0009978,           0.0009978,           0.0009978
                   5,            0.054233,            0.061426,            0.063232,             0.74627,             0.64103,             0.69347,             0.34229,            0.046389,            0.047388,            0.059481,           0.0009961,           0.0009961,           0.0009961
                   6,            0.053844,            0.060686,             0.06297,             0.78733,              0.6485,             0.71735,             0.35837,            0.045838,            0.047187,             0.05937,          0.00099391,          0.00099391,          0.00099391
                   7,            0.052732,            0.060246,            0.062759,             0.79142,             0.65681,             0.72667,             0.36667,            0.045351,            0.046706,            0.059223,          0.00099123,          0.00099123,          0.00099123
                   8,            0.052666,              0.0606,            0.062656,             0.80569,             0.65256,             0.71934,              0.3696,            0.044592,            0.046522,            0.059005,          0.00098808,          0.00098808,          0.00098808
                   9,            0.052063,            0.059349,             0.06249,             0.82581,             0.64852,             0.73252,             0.38124,            0.044552,            0.046072,            0.058906,          0.00098445,          0.00098445,          0.00098445
                  10,            0.051834,            0.059318,            0.062397,             0.80198,             0.66217,             0.72462,             0.37341,            0.044413,            0.046005,            0.058965,          0.00098035,          0.00098035,          0.00098035
                  11,            0.051458,            0.058436,            0.062361,             0.82471,              0.6549,             0.73618,              0.3874,            0.044034,            0.046111,             0.05881,          0.00097577,          0.00097577,          0.00097577
                  12,            0.051293,            0.058494,            0.062271,             0.82045,             0.66089,             0.74657,             0.39533,            0.043822,            0.045757,            0.058737,          0.00097074,          0.00097074,          0.00097074
                  13,             0.05099,            0.058055,            0.062228,             0.81469,             0.68655,             0.75982,             0.39833,            0.043587,            0.045656,             0.05876,          0.00096524,          0.00096524,          0.00096524
                  14,            0.050548,            0.058426,            0.062178,              0.8256,              0.6733,             0.75056,             0.40337,            0.043031,            0.045351,            0.058607,          0.00095929,          0.00095929,          0.00095929
                  15,            0.050443,            0.057849,             0.06208,             0.81894,             0.67426,             0.74899,             0.40331,            0.042956,            0.045052,            0.058561,          0.00095289,          0.00095289,          0.00095289
                  16,             0.05033,            0.058016,             0.06201,             0.82677,             0.68352,             0.75578,             0.40659,            0.042975,            0.044818,            0.058583,          0.00094605,          0.00094605,          0.00094605
                  17,            0.050063,            0.057776,            0.062002,             0.83184,             0.68631,             0.76401,             0.41409,            0.042568,            0.044911,            0.058552,          0.00093877,          0.00093877,          0.00093877
                  18,            0.049905,            0.057844,            0.061941,             0.83215,             0.69309,             0.77048,             0.41493,            0.042562,            0.045021,            0.058418,          0.00093107,          0.00093107,          0.00093107
                  19,            0.049868,            0.057634,            0.061962,             0.83073,             0.69228,             0.76328,             0.41641,            0.042368,            0.044663,            0.058403,          0.00092294,          0.00092294,          0.00092294
                  20,            0.049762,            0.057948,            0.061885,             0.84181,             0.69086,             0.77334,             0.42144,            0.042144,             0.04443,            0.058427,           0.0009144,           0.0009144,           0.0009144
                  21,            0.049608,            0.056829,            0.061848,             0.84898,              0.6938,             0.77596,             0.42629,             0.04199,            0.044245,            0.058315,          0.00090546,          0.00090546,          0.00090546
                  22,            0.049255,            0.056946,            0.061834,             0.84056,             0.69265,             0.77203,             0.42483,            0.041884,            0.044226,            0.058306,          0.00089613,          0.00089613,          0.00089613
                  23,             0.04923,            0.056516,            0.061817,             0.83667,              0.6964,             0.77367,             0.42639,            0.041656,            0.044245,            0.058274,           0.0008864,           0.0008864,           0.0008864
                  24,            0.049267,            0.057041,            0.061771,             0.85075,             0.69893,             0.77855,             0.42991,            0.041579,            0.044023,            0.058275,           0.0008763,           0.0008763,           0.0008763
                  25,            0.049151,            0.057137,            0.061743,             0.84204,             0.70162,             0.78113,             0.43195,            0.041443,            0.044026,            0.058255,          0.00086584,          0.00086584,          0.00086584
                  26,            0.049022,            0.056363,            0.061709,             0.84252,             0.70533,             0.78306,              0.4358,            0.041265,            0.044017,             0.05823,          0.00085502,          0.00085502,          0.00085502
                  27,            0.048874,            0.056112,            0.061685,             0.85767,             0.71748,             0.79324,             0.44001,            0.041215,            0.043666,            0.058168,          0.00084385,          0.00084385,          0.00084385
                  28,            0.048745,            0.056728,            0.061681,             0.84959,             0.70746,             0.78568,              0.4377,            0.041219,            0.043774,             0.05818,          0.00083235,          0.00083235,          0.00083235
                  29,             0.04856,            0.055986,            0.061661,             0.84961,             0.70773,              0.7874,             0.43794,            0.041103,            0.043857,            0.058159,          0.00082052,          0.00082052,          0.00082052
                  30,             0.04854,             0.05616,            0.061614,             0.84816,             0.70782,              0.7916,             0.44327,            0.040871,            0.043539,            0.058142,          0.00080839,          0.00080839,          0.00080839
                  31,            0.048397,            0.056783,            0.061597,             0.85294,             0.72005,             0.79838,             0.44788,            0.040737,            0.043634,            0.058141,          0.00079595,          0.00079595,          0.00079595
                  32,            0.048396,            0.056029,            0.061615,             0.85392,             0.71429,             0.79347,             0.44325,            0.040881,            0.043517,            0.058132,          0.00078323,          0.00078323,          0.00078323
                  33,            0.047957,            0.056185,            0.061533,             0.85235,             0.72079,             0.79583,             0.44661,            0.040871,            0.043535,            0.058108,          0.00077023,          0.00077023,          0.00077023
                  34,            0.048049,            0.055744,            0.061545,             0.85499,             0.71625,             0.79636,             0.44925,            0.040741,             0.04327,            0.058068,          0.00075698,          0.00075698,          0.00075698
                  35,            0.047742,            0.054525,            0.061478,              0.8576,             0.71232,             0.79582,             0.44942,            0.040635,            0.043374,            0.058061,          0.00074347,          0.00074347,          0.00074347
                  36,            0.047911,            0.055261,            0.061491,             0.85993,             0.71645,             0.79751,             0.45026,            0.040573,             0.04334,            0.058059,          0.00072973,          0.00072973,          0.00072973
                  37,            0.047856,             0.05544,            0.061487,             0.86378,             0.71403,             0.79755,             0.44976,             0.04058,            0.043198,            0.058036,          0.00071576,          0.00071576,          0.00071576
                  38,            0.047486,            0.055445,            0.061399,             0.86071,             0.71673,             0.79616,             0.44982,              0.0405,            0.043075,            0.058051,          0.00070159,          0.00070159,          0.00070159
                  39,            0.047402,            0.055176,            0.061429,             0.85926,             0.72071,             0.80053,             0.45324,            0.040383,            0.043011,            0.058027,          0.00068722,          0.00068722,          0.00068722
                  40,            0.047411,            0.055035,            0.061389,             0.86624,             0.72112,             0.80033,             0.45293,            0.040361,            0.043091,            0.058018,          0.00067268,          0.00067268,          0.00067268
                  41,            0.047396,             0.05463,            0.061414,             0.85836,             0.72045,             0.79739,             0.45245,             0.04032,            0.042989,            0.058006,          0.00065796,          0.00065796,          0.00065796
                  42,            0.047251,            0.054769,            0.061377,             0.86422,             0.72079,             0.80303,              0.4562,            0.040258,            0.042841,            0.058018,           0.0006431,           0.0006431,           0.0006431
