               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075906,            0.059608,            0.074848,             0.29928,             0.36738,             0.28028,              0.1127,            0.053401,            0.045437,             0.06656,            0.070042,           0.0033287,           0.0033287
                   1,            0.059102,            0.054697,            0.067085,             0.58526,              0.5338,             0.54285,             0.26571,            0.045692,            0.043462,            0.062786,            0.039976,           0.0065961,           0.0065961
                   2,            0.055162,            0.053588,            0.064743,             0.64679,             0.60468,             0.62445,             0.30944,            0.044231,            0.042878,            0.060963,           0.0098438,           0.0097975,           0.0097975
                   3,            0.051337,            0.053632,            0.063496,             0.67819,             0.63551,             0.65628,             0.33412,            0.042576,            0.043514,            0.060063,            0.009703,            0.009703,            0.009703
                   4,             0.04827,            0.052763,            0.062855,             0.74102,             0.65963,             0.70395,             0.38132,            0.040834,            0.041647,            0.059514,            0.009703,            0.009703,            0.009703
                   5,            0.047155,             0.05197,            0.062513,             0.77517,             0.67925,             0.73549,             0.40339,            0.039927,            0.040975,            0.058964,            0.009604,            0.009604,            0.009604
                   6,            0.046202,            0.050824,            0.062057,              0.7808,             0.66737,             0.73086,             0.40351,            0.040314,            0.041243,            0.058782,            0.009505,            0.009505,            0.009505
                   7,             0.04577,            0.050396,            0.061866,             0.79258,             0.69332,             0.75286,             0.42291,            0.039453,             0.04075,              0.0585,            0.009406,            0.009406,            0.009406
                   8,            0.045082,            0.050138,            0.061669,             0.82015,             0.68611,             0.76148,             0.42849,            0.039069,             0.04016,            0.058347,            0.009307,            0.009307,            0.009307
                   9,            0.044608,            0.049654,            0.061577,             0.82369,             0.68044,             0.75861,             0.43081,            0.039108,            0.040039,            0.058399,            0.009208,            0.009208,            0.009208
                  10,            0.044422,             0.04971,            0.061524,             0.81272,             0.68885,             0.76346,             0.43516,             0.03875,            0.039882,            0.058216,            0.009109,            0.009109,            0.009109
                  11,            0.044256,              0.0496,            0.061441,              0.8069,             0.69024,             0.75782,             0.43819,            0.038382,             0.04002,            0.058162,             0.00901,             0.00901,             0.00901
                  12,            0.043856,             0.04904,            0.061297,             0.84116,               0.689,             0.76991,             0.44405,            0.038009,            0.039474,            0.058076,            0.008911,            0.008911,            0.008911
                  13,             0.04355,            0.048649,            0.061277,             0.84407,             0.70199,             0.78035,             0.45181,            0.038049,            0.039568,            0.058046,            0.008812,            0.008812,            0.008812
                  14,            0.043534,            0.048696,            0.061169,             0.83721,              0.7121,             0.78931,             0.45571,            0.037587,            0.039229,            0.057949,            0.008713,            0.008713,            0.008713
                  15,              0.0432,            0.049156,            0.061148,             0.83118,             0.71684,             0.79039,             0.45754,            0.037476,            0.039202,            0.057914,            0.008614,            0.008614,            0.008614
                  16,            0.043124,            0.048826,            0.061114,             0.83543,              0.7059,             0.78217,             0.45769,            0.037475,            0.039119,            0.057832,            0.008515,            0.008515,            0.008515
                  17,            0.042947,            0.048402,            0.061069,             0.84599,             0.70129,             0.78918,             0.45954,            0.037293,            0.038974,             0.05788,            0.008416,            0.008416,            0.008416
